Country Code,2019,2020,2021,2022,2023
LBN,15659.5661,12507.43664,11599.77551,11474.75058,
LBR,1575.76665,1497.376924,1539.208923,1578.998371,1616.923734
LBY,14333.42244,9976.037403,12641.50977,11456.07681,12478.14346
LCA,22738.01096,17141.93807,19101.1653,22961.96222,23403.46177
LCN,18840.28768,17479.53732,18650.01329,19288.75846,19565.69615
LDC,3746.859346,3660.930706,3673.943336,3767.552425,3819.176215
LIC,2384.804293,2334.506832,2312.775181,2331.790562,2325.417723
LIE,,,,,
LKA,14637.44429,13886.65137,14316.13522,13249.40852,13029.52394
LMC,7613.16701,7245.738495,7650.303991,8015.40977,8379.974488
LMY,11714.37041,11383.87251,12062.24388,12425.00951,12888.24016
LSO,2773.286399,2517.110419,2544.782496,2577.545441,2595.829523
LTE,20642.26887,20509.94447,21934.00188,22537.28765,23425.07368
LTU,43284.52366,43291.46623,45955.56895,46609.15587,46118.09251
LUX,131609.0996,128256.5603,135379.2912,134507.6675,130373.4779
LVA,35176.55093,34195.13731,36880.45646,37651.0169,38333.17143
MAC,133549.188,59791.42526,74177.78252,60089.83898,104961.6435
MAF,,,,,
MAR,8768.175781,8054.562988,8623.265625,8666.079102,8868.711914
MCO,,,,,
MDA,14621.24014,13559.26002,15682.07033,15291.12874,15855.27374
MDG,1713.796122,1551.12558,1599.412769,1622.610824,1643.309348
MDV,21855.50122,14242.97507,19052.62249,21357.81125,22286.98017
MEA,18254.1388,17455.3194,18009.85646,18638.42504,18657.1101
MEX,21697.92515,19722.7909,20776.59278,21381.42931,21874.01615
MHL,6405.075649,6417.184412,6705.875292,6844.334678,6786.695693
MIC,12807.12815,12464.51678,13245.64445,13672.88381,14217.97924
MKD,21747.27409,20952.54861,22124.24239,22801.6725,23323.90341
MLI,2451.122161,2348.881724,2347.627529,2357.190354,2394.672164
MLT,53256.44298,50281.73093,56697.29836,57607.55818,59548.08294
MMR,6562.988985,5926.834502,5178.447182,5350.476669,5364.13797
MNA,12443.08558,12002.29561,12299.54897,12648.99799,12829.92585
MNE,25002.83448,21200.28475,24046.61982,25670.03906,27342.82377
MNG,15790.69611,14801.34208,14792.25091,15310.43495,16222.86389
MNP,,,,,
MOZ,1528.889884,1466.124765,1457.235409,1476.665603,1511.636535
MRT,6162.210451,5963.235503,5836.565808,6053.261787,6258.710913
MUS,25739.3549,21994.66598,22737.57294,24831.3727,26590.42388
MWI,1687.289449,1656.439852,1687.593582,1659.959338,1648.436518
MYS,31300.50866,29200.45263,29822.84918,32079.15152,32812.29975
NAC,68280.80078,65982.87188,69796.87635,71257.65862,72668.95479
NAM,10813.30447,9652.248272,9709.099306,9948.464585,10105.51477
NCL,,,,,
NER,1612.637347,1615.692724,1585.59922,1717.518915,1703.396933
NGA,5628.177652,5410.693555,5491.700341,5552.83765,5593.056614
NIC,6701.194264,6501.687499,7086.622395,7258.681717,7486.942762
NLD,67786.60698,64803.6401,68511.66245,71259.65074,70610.17045
NOR,87646.52682,86018.3207,88903.80103,90756.89577,90160.1575
NPL,4607.524547,4412.542044,4546.2297,4763.387511,4859.800104
NRU,11273.14078,11441.25845,12196.64515,12467.34689,12462.84129
NZL,47283.42971,46055.80928,47950.85358,49224.59411,48580.19627
OED,50186.10785,47881.74561,50731.46019,52085.92937,52742.29743
OMN,38292.38597,37560.59987,38719.45877,40366.45823,38311.41834
OSS,27329.20359,25540.23188,26928.19036,27718.94658,28064.14676
PAK,5295.952951,5135.014593,5367.273647,5526.279283,5439.18762
PAN,33163.72691,26881.79871,30932.76278,33833.02651,35863.88015
PER,15466.29515,13612.02194,15282.27364,15548.93162,15294.25678
PHL,9452.293971,8455.184571,8857.789951,9457.103954,9901.056524
PLW,19312.79118,18160.25672,15663.1744,15477.55198,15796.54027
PNG,4301.611392,4077.631322,3976.9038,4125.493036,4174.44164
POL,38147.14935,37436.11698,41022.51263,43365.83176,43585.11942
PRE,4212.102237,3989.088689,4000.328822,4062.09052,4040.607071
PRI,43078.01042,40171.79066,40559.69857,42562.37657,42994.78564
PRK,,,,,
PRT,40152.03293,36818.98406,38622.79464,41033.81135,41498.36696
PRY,15321.32455,14991.66062,15406.16706,15259.14563,15783.11501
PSE,6269.891345,5423.682547,5663.121607,5753.083959,5313.097903
PSS,7469.933006,6505.153586,6219.028478,6872.40369,7209.948675
PST,55603.99391,53031.98742,56072.65683,57404.41185,58361.69342
PYF,,,,,
QAT,113160.9738,103061.9134,116832.5703,114740.1236,116159.1426
ROU,36602.28036,35452.09107,37698.35811,39344.56108,40267.30659
RUS,37698.95313,36746.375,38938.49609,38263.61719,39753.45703
RWA,2665.18684,2518.165298,2731.090153,2889.884853,3060.028931
SAS,7442.540284,7023.01009,7561.392538,7970.190931,8439.404649
SAU,56365.50855,51782.56865,55768.23552,57351.87439,55055.39968
SDN,3625.523193,3401.249756,3248.975586,3132.077148,2469.19458
SEN,4070.612271,4018.041293,4173.677414,4227.733418,4317.226392
SGP,119572.2771,115304.1495,131864.0923,132468.9303,127543.5548
SLB,2661.599734,2515.128328,2518.421624,2517.925421,2534.027563
SLE,2851.979233,2751.966655,2848.705977,2934.030135,3034.218943
SLV,10543.93833,9692.449316,10809.7134,11068.92143,11404.33423
SMR,60171.04713,55998.0711,64745.13168,70887.5739,
SOM,1491.107606,1396.053436,1392.464262,1387.813744,1402.469921
SRB,21521.70175,21459.71016,23385.19999,24612.2339,25718.42998
SSA,4354.946997,4167.182143,4241.007998,4292.126727,4306.96344
SSD,,,,,
SSF,4357.51369,4169.357359,4243.13256,4294.487498,4309.351459
SST,23477.45081,21865.49518,23089.27783,24519.671,25375.58436
STP,5702.083471,5742.947249,5732.694561,5632.138907,5541.301676
SUR,22966.7406,19091.36172,18458.235,18742.58738,19043.70529
SVK,37160.5732,36168.74687,38321.41943,38603.55081,39171.78262
SVN,44540.58516,42435.93254,45872.66339,47021.72053,47825.23008
SWE,61177.20125,59518.6899,62675.06345,63158.3624,62665.21726
SWZ,10027.65275,9633.192244,9846.20708,9740.065259,10132.18726
SXM,45996.79123,39265.76168,40507.06724,43877.24914,44894.69346
SYC,34346.07089,30056.19943,29979.82727,28540.76232,29468.95128
SYR,4825.406021,4633.349518,4592.838601,4454.853733,
TCA,27826.01491,19813.40602,21192.48236,22209.91093,22305.65927
TCD,1868.019489,1780.563022,1700.166988,1688.460175,1679.461532
TEA,16702.25743,16748.4056,17874.50064,18478.22398,19369.55064
TEC,28488.0328,27879.44891,29796.89444,29979.56502,31240.06565
TGO,2501.030875,2490.052938,2577.201963,2662.259171,2767.516558
THA,21277.08251,19956.54735,20245.24241,20741.52353,21142.66433
TJK,3649.883755,3724.748959,3985.912476,4213.756184,4472.324138
TKM,15231.30562,15791.17759,16434.13991,17119.57449,17866.40418
TLA,18745.50145,17390.28154,18563.63884,19192.93366,19466.59167
TLS,5103.283422,6595.054593,6824.792389,5344.136952,4328.50782
TMN,12515.55319,12080.21222,12378.84742,12731.99105,12921.12064
TON,6875.025478,6995.317324,7034.924838,6901.738556,
TSA,7442.540284,7023.01009,7561.392538,7970.190931,8439.404649
TSS,4357.51369,4169.357359,4243.13256,4294.487498,4309.351459
TTO,34349.12876,31168.34555,30826.20881,31323.27726,31705.83338
TUN,13175.77878,11889.29183,12375.34293,12632.03922,12552.98669
TUR,28106.65003,28352.92595,31309.96773,32718.74682,34251.579
TUV,5292.024837,5154.454297,5352.973141,5498.178921,5812.39329
TZA,3484.632568,3449.821533,3493.083008,3546.980957,3620.793457
UGA,2689.410091,2678.009072,2684.920359,2724.906096,2791.055769
UKR,17636.55469,17092.53906,17846.4082,13787.12109,15885.22559
UMC,18269.38392,17998.35529,19230.43058,19782.17443,20588.00396
URY,30108.07505,27871.60048,29441.47749,30879.92882,31019.31139
USA,69511.76344,67352.38714,71318.30736,72841.92431,74577.50654
